# Sensor Tramwajowa, Osiedle Biskupin-Sępolno-Dąbie-Bartoszowice, Poland (Citizen Science project luftdaten.info/68308)
# https://aqicn.org/station/@undefined/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,7,23,12,10,15,3.338,197
2022-02-02T00:00:00.000Z,4,23,11,9,13,2.911,290
2022-02-03T00:00:00.000Z,2,39,14,11,18,6.276,317
2022-02-04T00:00:00.000Z,10,43,21,18,24,5.95,292
2022-02-05T00:00:00.000Z,6,30,15,12,17,4.328,291
2022-02-06T00:00:00.000Z,3,255,15,11,76.5,62.528,289
2022-02-07T00:00:00.000Z,14,243,35,24,53,39.163,290
2022-02-08T00:00:00.000Z,8,47,31,19,37,10.092,287
2022-02-09T00:00:00.000Z,4,116,17.5,14,37,25.256,290
2022-02-10T00:00:00.000Z,13,129,32,22,54,21.042,290
2022-02-11T00:00:00.000Z,4,28,11,8,14,4.746,285
2022-02-12T00:00:00.000Z,5,78,13,11,47,20.247,288
2022-02-13T00:00:00.000Z,12,49,23,20,28,6.591,290
2022-02-14T00:00:00.000Z,14,50,25,21,36,8.645,289
2022-02-15T00:00:00.000Z,22,60,46,35,51,9.087,289
2022-02-16T00:00:00.000Z,9,99,27,19,34,18.766,287
2022-02-17T00:00:00.000Z,6,72,11,9.5,14,11.872,289
2022-02-18T00:00:00.000Z,5,22,11,8,14,3.413,290
2022-02-19T00:00:00.000Z,2,44,11,8,15,7.439,289
2022-02-20T00:00:00.000Z,3,40,12,10,16,7.482,292
2022-02-21T00:00:00.000Z,0,25,8,7,13,5.607,290
2022-02-22T00:00:00.000Z,2,417,10.5,8,57,86.506,288
2022-02-23T00:00:00.000Z,5,68,16,12,28.5,15.239,293
2022-02-24T00:00:00.000Z,6,158,33,16,49,26.382,293
2022-02-25T00:00:00.000Z,2,39,9,7,15,7.048,291
2022-02-26T00:00:00.000Z,6,104,22,16,28,15.642,287
2022-02-27T00:00:00.000Z,27,59,37,33,42,7.386,288
2022-02-28T00:00:00.000Z,10,106,47,27,59,20.619,290
2022-03-01T00:00:00.000Z,17,85,49,34,58,17.14,290
2022-03-02T00:00:00.000Z,20,110,63,42,75,18.346,293
2022-03-03T00:00:00.000Z,30,361,91,63,104,70.257,291
2022-03-04T00:00:00.000Z,17,71,42,32,53,13.026,290
2022-03-05T00:00:00.000Z,20,54,36,32,41,6.044,288
2022-03-06T00:00:00.000Z,26,67,44,38.5,49,7.991,293
2022-03-07T00:00:00.000Z,10,53,33,23,39,9.668,288
2022-03-08T00:00:00.000Z,10,62,39,29.5,47,11.103,288
2022-03-09T00:00:00.000Z,8,244,39,24,45,24.791,289
2022-03-10T00:00:00.000Z,8,51,21,14,29,10.423,294
2022-03-11T00:00:00.000Z,9,83,29,20,35,15.699,290
2022-03-12T00:00:00.000Z,13,80,40,28,48,12.68,291
2022-03-13T00:00:00.000Z,11,110,46.5,37.5,57,22.621,288
2022-03-14T00:00:00.000Z,21,114,50,34.5,66,20.305,289
2022-03-15T00:00:00.000Z,9,97,23,19,32,10.825,296
2022-03-16T00:00:00.000Z,23,72,38,32,48,10.764,288
2022-03-17T00:00:00.000Z,38,89,63,56,74,11.207,290
2022-03-18T00:00:00.000Z,25,102,47,35,59,15.073,282
2022-03-19T00:00:00.000Z,29,120,68,57,78,18.273,290
2022-03-20T00:00:00.000Z,25,96,56,43,66,15.281,291
2022-03-21T00:00:00.000Z,21,93,49,41,63.5,15.991,288
2022-03-22T00:00:00.000Z,47,96,76,65,84,11.496,288
2022-03-23T00:00:00.000Z,22,94,75,47,85,21.62,229
2022-03-24T00:00:00.000Z,17,80,59,41,68,15.24,252
2022-03-25T00:00:00.000Z,29,76,50,39,61,12.626,217
